"num","userID","avgHoldTime","avgSeekTime","averageNgramTime","I","AL","S","KS","EI","D","AK","L","O","LE","MA","IN","SI","EL","E","JA","LA","label"
"27",27,83,3042,6337,1003.30041724618,717.161561763716,208,224,2009.00812182741,408,193,1747.42926829268,1781.12063227953,675.615716180371,225,826.746677515595,280,647.909686315064,965.053728345468,1106,1576,0
"28",28,80,1569,3329,200,717.161561763716,1510.09306853583,639.598602096855,208,272,1299.6777054997,1747.42926829268,1781.12063227953,675.615716180371,3816,760,760.600287562904,319,965.053728345468,512,1040,0
"29",29,113,5693,11921,1003.30041724618,717.161561763716,377,615,2009.00812182741,528,1299.6777054997,1747.42926829268,1057,675.615716180371,871.495630898287,826.746677515595,576,647.909686315064,965.053728345468,432,351,0
"30",30,102,700,1608,472,353,247,384,1248,334,488,296,289,2057,609,440,513,446,456,1584,368,0
"31",31,16,1356,2792,1003.30041724618,324,1510.09306853583,242,284,259,249,1747.42926829268,1781.12063227953,675.615716180371,871.495630898287,826.746677515595,760.600287562904,647.909686315064,965.053728345468,341,1000.98157021747,0
"32",32,65,1235,2665,534,717.161561763716,1510.09306853583,639.598602096855,533,1177.3096097081,1299.6777054997,1747.42926829268,594,675.615716180371,383,826.746677515595,760.600287562904,647.909686315064,965.053728345468,201,1000.98157021747,0
"33",33,19,6367,21234,1003.30041724618,717.161561763716,1510.09306853583,639.598602096855,2009.00812182741,1177.3096097081,1299.6777054997,1747.42926829268,1781.12063227953,675.615716180371,871.495630898287,826.746677515595,760.600287562904,647.909686315064,965.053728345468,1379.43897581792,1000.98157021747,0
"34",34,71,2839,5900,1003.30041724618,584,263,401,2009.00812182741,1177.3096097081,1299.6777054997,424,9480,675.615716180371,616,583,84208,392,760,1379.43897581792,304,0
"35",35,83,2587,5371,353,569,1510.09306853583,639.598602096855,2009.00812182741,1177.3096097081,1299.6777054997,1747.42926829268,1781.12063227953,280,871.495630898287,826.746677515595,760.600287562904,207,304,25936,1000.98157021747,0
"36",36,67,1300,2757,1003.30041724618,256,232,336,2009.00812182741,352,593,1747.42926829268,344,675.615716180371,288,336,288,1344,360,639,280,0
"37",37,84,2186,4588,312,717.161561763716,1510.09306853583,639.598602096855,3184,728,1299.6777054997,1747.42926829268,944,280,871.495630898287,744,760.600287562904,647.909686315064,965.053728345468,384,1000.98157021747,0
"38",38,90,1625,3454,1003.30041724618,297,304,368,2009.00812182741,344,544,1747.42926829268,528,675.615716180371,584,720,424,647.909686315064,392,704,336,0
"39",39,81,1635,3458,975,440,2272,512,2009.00812182741,448,688,4232,527,675.615716180371,1112,968,648,647.909686315064,384,543,528,0
