'userID', 'avgHoldTime', 'avgSeekTime', 'averageNgramTime', 'I ', 'AL', 'S ', 'KS', 'EI', 'D ', 'AK', 'L ', ' O', 'LE', 'MA', 'IN', 'SI', 'EL', 'E ', 'JA', 'LA'
2960, 85, 2052, 4333, 458, 560, 4333, 4333, 358, 337, 420, 4333, 377, 4333, 4333, 4333, 352, 470, 4333, 408, 503
2961, 89, 873, 2113, 2113, 2113, 2113, 2113, 2113, 2113, 2113, 2113, 2113, 2113, 2113, 2113, 11080, 2113, 2113, 2113, 2113
2962, 87, 1072, 2339, 2339, 837, 2339, 372, 2339, 2339, 2339, 2339, 2339, 440, 485, 462, 582, 1088, 1297, 425, 468
2963, 85, 700, 1603, 1603, 1603, 1603, 1603, 1603, 352, 1603, 1603, 1603, 612, 1603, 837, 1603, 850, 1603, 1603, 1603
2964, 83, 321, 816, 350, 370, 286, 354, 301, 2173, 427, 816, 816, 333, 816, 816, 365, 816, 816, 333, 417
2965, 84, 540, 1246, 697, 1246, 1246, 392, 345, 310, 1246, 440, 372, 677, 405, 1246, 1246, 443, 402, 335, 377
2966, 81, 971, 2111, 870, 363, 2111, 337, 2111, 19281, 368, 5621, 404, 494, 286, 391, 394, 4834, 353, 273, 401
2967, 80, 785, 1738, 386, 1738, 320, 306, 300, 312, 1738, 2676, 384, 385, 416, 386, 601, 360, 352, 282, 1377
2968, 78, 983, 2134, 2134, 510, 2134, 227, 346, 354, 407, 2134, 387, 377, 380, 372, 381, 283, 324, 306, 324
2969, 79, 517, 1196, 1196, 379, 6240, 283, 350, 1514, 387, 1196, 1153, 307, 367, 445, 355, 382, 4923, 14763, 421
2970, 80, 768, 1717, 1717, 1717, 1717, 1717, 433, 430, 1717, 1717, 273, 1717, 381, 382, 12272, 370, 304, 504, 611
2971, 75, 379, 926, 350, 926, 926, 350, 926, 392, 926, 430, 926, 446, 337, 2121, 926, 926, 926, 803, 926
2972, 81, 787, 1743, 449, 1743, 1743, 355, 389, 346, 398, 643, 254, 586, 412, 672, 401, 366, 411, 275, 387
2973, 85, 1281, 2411, 2411, 381, 2411, 292, 367, 2411, 420, 1223, 2411, 2411, 2411, 368, 577, 367, 2411, 557, 4737
2974, 82, 303, 777, 462, 777, 777, 777, 777, 777, 524, 777, 327, 428, 311, 518, 416, 295, 1067, 710, 1619
2975, 79, 608, 1401, 1401, 1401, 1401, 1401, 1401, 1401, 1401, 1401, 1401, 1401, 1401, 379, 1401, 1401, 434, 1401, 1401
2976, 80, 638, 1442, 346, 370, 323, 406, 338, 467, 390, 482, 436, 288, 411, 478, 510, 357, 336, 571, 420
2977, 80, 695, 1550, 357, 424, 337, 333, 344, 378, 394, 418, 317, 297, 305, 483, 364, 834, 292, 253, 350
2978, 79, 2875, 5991, 5991, 5991, 5991, 287, 5991, 5991, 5991, 5991, 5991, 353, 4278, 423, 417, 5991, 307, 290, 5991
2979, 110, 3885, 8820, 8820, 8820, 8820, 8820, 8820, 8820, 8820, 8820, 8820, 8820, 8820, 8820, 8820, 8820, 8820, 8820, 8820
2980, 78, 2579, 5409, 5409, 5409, 5409, 5409, 5409, 5409, 394, 5409, 5409, 5409, 340, 5409, 1100, 5409, 300, 240, 381
2981, 74, 1711, 3629, 3629, 328, 3629, 340, 3629, 3629, 3629, 4123, 3629, 355, 1511, 407, 3629, 360, 16404, 317, 373
2982, 80, 3240, 6980, 6980, 6980, 6980, 278, 6980, 6980, 6980, 6980, 6980, 6980, 6980, 6980, 6980, 6980, 6980, 333, 6980
2983, 79, 1353, 2906, 2906, 357, 304, 334, 2906, 2906, 2906, 323, 287, 351, 2906, 391, 297, 312, 2906, 2906, 366
2984, 74, 435, 1089, 1089, 1089, 1089, 302, 1089, 1089, 1089, 1089, 1089, 1089, 1089, 1089, 1089, 1089, 1089, 285, 1089
2985, 71, 164, 510, 510, 510, 510, 510, 510, 510, 510, 510, 834, 510, 382, 510, 510, 510, 510, 510, 510
2986, 61, 1097, 2543, 2543, 2543, 2543, 2543, 2543, 2543, 2543, 2543, 2543, 2543, 2543, 250, 2543, 2543, 2543, 3300, 2543
2987, 79, 422, 1010, 358, 359, 1010, 273, 1010, 2573, 329, 1010, 1010, 285, 1010, 1010, 348, 326, 310, 284, 374
2988, 67, 2010, 4484, 4484, 4484, 4484, 4484, 4484, 4484, 4484, 4484, 4484, 4484, 4484, 4484, 4484, 4484, 4484, 4484, 4484
2989, 87, 2593, 5675, 5675, 339, 5675, 5675, 5675, 5675, 5675, 334, 5675, 338, 5675, 384, 5675, 5675, 272, 5675, 5675
2990, 79, 139, 474, 474, 474, 474, 474, 474, 474, 474, 564, 474, 474, 474, 474, 474, 570, 474, 474, 269
2991, 85, 1817, 3921, 3921, 336, 3921, 3921, 3921, 3921, 3921, 29298, 3921, 222, 3921, 399, 3921, 381, 332, 3921, 2470
2992, 83, 1739, 3597, 3597, 3597, 3597, 3597, 3597, 351, 3597, 3597, 3597, 3597, 3597, 861, 3597, 3597, 3597, 335, 3597
2993, 75, 2414, 5060, 5060, 5060, 5060, 5060, 5060, 5060, 5060, 5060, 411, 5060, 353, 5060, 383, 320, 5060, 304, 5060
2994, 79, 1622, 3487, 3487, 3487, 302, 767, 3487, 338, 614, 3487, 3487, 3487, 3487, 3487, 3487, 3487, 330, 582, 3487
2995, 86, 1103, 2440, 2440, 2440, 2440, 2440, 2440, 666, 2440, 2440, 2440, 2440, 2440, 2440, 2440, 2440, 2440, 2440, 2440
2996, 77, 157, 463, 463, 463, 327, 482, 463, 320, 432, 463, 463, 463, 463, 463, 463, 463, 432, 463, 463
2997, 83, 806, 1831, 1831, 1831, 1831, 395, 1831, 1831, 392, 1831, 1831, 1831, 1831, 1831, 3965, 384, 1831, 331, 1831
2998, 78, 379, 925, 301, 925, 925, 249, 925, 925, 315, 925, 925, 299, 925, 399, 925, 340, 297, 570, 925
2999, 80, 1034, 2254, 2254, 335, 2254, 315, 539, 2254, 355, 2254, 398, 2254, 366, 2254, 334, 363, 518, 380, 387
3000, 78, 974, 2029, 2029, 2029, 4280, 2029, 2029, 2029, 2029, 2029, 346, 2029, 520, 493, 302, 430, 427, 2029, 2029
3001, 77, 1071, 2321, 2321, 1278, 2321, 496, 2321, 300, 427, 2321, 458, 2321, 407, 453, 2321, 832, 421, 842, 2321
3002, 92, 3062, 6696, 6696, 6696, 6696, 439, 6696, 6696, 672, 6696, 6696, 6696, 6696, 6696, 6696, 469, 6696, 384, 6696
3003, 81, 854, 1876, 425, 1876, 349, 486, 503, 437, 468, 595, 458, 453, 348, 379, 602, 428, 1717, 352, 1876
3004, 85, 677, 1517, 470, 315, 1517, 1517, 1517, 1517, 386, 468, 1517, 394, 416, 402, 372, 349, 335, 499, 417
3005, 82, 143, 468, 468, 468, 468, 468, 468, 468, 468, 468, 443, 468, 468, 468, 419, 468, 361, 334, 360
3006, 81, 173, 523, 450, 390, 353, 523, 523, 523, 523, 523, 523, 309, 523, 523, 523, 327, 344, 331, 523
