num,userID,avgHoldTime,avgSeekTime,averageNgramTime,I,AL,S,KS,EI,D,AK,L,O,LE,MA,IN,SI,EL,E,JA,LA,label
15,15,75,3611,7464,672,496,416,639.5986021,2009.008122,472,1299.677705,664,928,1048,504,1064,760.6002876,647.9096863,761,784,832,0
16,16,103,3047,6451,1232,717.1615618,1510.093069,639.5986021,2048,1177.30961,1299.677705,1747.429268,336,400,871.4956309,826.7466775,760.6002876,647.9096863,9503,1379.438976,1000.98157,0
17,17,85,4048,8486,577,792,437,1400,2009.008122,768,1191,1747.429268,689,675.6157162,871.4956309,544,592,647.9096863,472,1379.438976,1000.98157,0
18,18,62,1200,2559,504,264,1510.093069,639.5986021,4464,1177.30961,1299.677705,375,705,832,871.4956309,826.7466775,760.6002876,647.9096863,965.0537283,1379.438976,1000.98157,0
19,19,88,4467,9175,680,408,1744,896,720,1872,1299.677705,1747.429268,632,400,871.4956309,826.7466775,760.6002876,647.9096863,965.0537283,504,640,0
20,20,66,1680,3516,360,312,451,320,3361,335,1299.677705,1747.429268,552,312,223,591,423,1049,328,1093,305,0
21,21,76,4025,8268,432,717.1615618,400,639.5986021,352,624,1299.677705,472,600,1328,871.4956309,826.7466775,368,1009,752,480,431,0
22,22,79,2699,5619,284,301,1510.093069,283,2009.008122,316,1299.677705,1747.429268,241,675.6157162,871.4956309,826.7466775,187,418,269,271,485,0
23,23,81,4385,9398,1003.300417,717.1615618,1510.093069,639.5986021,2009.008122,271,263,1747.429268,1781.120632,675.6157162,871.4956309,826.7466775,760.6002876,647.9096863,965.0537283,272,1000.98157,0
24,24,71,2856,5972,1003.300417,717.1615618,567,639.5986021,2009.008122,1177.30961,1299.677705,1747.429268,1781.120632,675.6157162,871.4956309,826.7466775,760.6002876,616,560,17512,1000.98157,0
25,25,74,1146,2462,344,345,288,639.5986021,6055,383,46688,1747.429268,409,328,423,455,328,313,965.0537283,304,448,0
26,26,79,521,1191,1003.300417,717.1615618,1510.093069,639.5986021,2009.008122,344,1299.677705,408,1781.120632,675.6157162,871.4956309,826.7466775,760.6002876,647.9096863,965.0537283,1379.438976,441,0
27,27,83,3042,6337,1003.300417,717.1615618,208,224,2009.008122,408,193,1747.429268,1781.120632,675.6157162,225,826.7466775,280,647.9096863,965.0537283,1106,1576,0
28,28,80,1569,3329,200,717.1615618,1510.093069,639.5986021,208,272,1299.677705,1747.429268,1781.120632,675.6157162,3816,760,760.6002876,319,965.0537283,512,1040,0
29,29,113,5693,11921,1003.300417,717.1615618,377,615,2009.008122,528,1299.677705,1747.429268,1057,675.6157162,871.4956309,826.7466775,576,647.9096863,965.0537283,432,351,0
30,30,102,700,1608,472,353,247,384,1248,334,488,296,289,2057,609,440,513,446,456,1584,368,0
31,31,16,1356,2792,1003.300417,324,1510.093069,242,284,259,249,1747.429268,1781.120632,675.6157162,871.4956309,826.7466775,760.6002876,647.9096863,965.0537283,341,1000.98157,0
32,32,65,1235,2665,534,717.1615618,1510.093069,639.5986021,533,1177.30961,1299.677705,1747.429268,594,675.6157162,383,826.7466775,760.6002876,647.9096863,965.0537283,201,1000.98157,0
33,33,19,6367,21234,1003.300417,717.1615618,1510.093069,639.5986021,2009.008122,1177.30961,1299.677705,1747.429268,1781.120632,675.6157162,871.4956309,826.7466775,760.6002876,647.9096863,965.0537283,1379.438976,1000.98157,0
34,34,71,2839,5900,1003.300417,584,263,401,2009.008122,1177.30961,1299.677705,424,9480,675.6157162,616,583,84208,392,760,1379.438976,304,0
35,35,83,2587,5371,353,569,1510.093069,639.5986021,2009.008122,1177.30961,1299.677705,1747.429268,1781.120632,280,871.4956309,826.7466775,760.6002876,207,304,25936,1000.98157,0
36,36,67,1300,2757,1003.300417,256,232,336,2009.008122,352,593,1747.429268,344,675.6157162,288,336,288,1344,360,639,280,0
37,37,84,2186,4588,312,717.1615618,1510.093069,639.5986021,3184,728,1299.677705,1747.429268,944,280,871.4956309,744,760.6002876,647.9096863,965.0537283,384,1000.98157,0
38,38,90,1625,3454,1003.300417,297,304,368,2009.008122,344,544,1747.429268,528,675.6157162,584,720,424,647.9096863,392,704,336,0
39,39,81,1635,3458,975,440,2272,512,2009.008122,448,688,4232,527,675.6157162,1112,968,648,647.9096863,384,543,528,0
40,40,90,1621,3443,456,1200,1352,1016,664,720,1299.677705,1747.429268,2712,1184,592,826.7466775,384,1056,11072,1128,368,0
