userID,avgHoldTime,avgSeekTime,averageNgramTime, I , AL, S , KS, EI, D , AK, L ,  O, LE, MA, IN, SI, EL, E , JA, LA,label
199,102,1950,4120,437,530,499,1887,515,468,1372,702,2185,1061,546,530,797,624,2076,764,905,0
204,92,548,1285,750,1155,842,952,718,514,655,1217,796,702,468,608,359,468,624,546,702,0
207,74,763,1675,375,514,296,312,405,281,281,702,453,546,312,687,577,374,297,530,390,0
208,95,589,1371,375,609,2137,811,1014,921,967,671,3931,436,1981,500,827,1996,452,671,686,0
214,74,573,1301,343,156,343,515,406,562,281,499,421,436,343,531,484,484,390,405,5772,0
222,81,969,2109,6817,639,1841,1326,702,1388,1467,530,998,499,1404,858,390,639,359,826,422,0
237,92,708,1608,3790,560,1090,610,593,530,432,971,1388,772,690,1077,782,943,4451,420,701,0
260,96,6440,13142,484,421,671,640,843,1138,967,1513,904,296,983,1294,1326,406,1060,1185,343,0
368,71,600,1344,832,752,209,159,273,280,360,240,176,257,193,280,320,305,416,408,248,0
369,76,990,2138,288,2336,336,431,360,353,608,232,440,312,311,41759,305,288,176,320,224,0
391,82,919,2009,976,256,472,311,18656,3968,448,295,215,272,448,273,319,368,312,744,295,1
401,72,1290,2735,903,359,199,304,216,442,560,216,296,321,321,416,176,264,409,335,312,1
412,80,1084,2339,200,888,223,319,240,296,495,296,601,240,288,688,352,287,192,240,944,1
413,107,1465,3136,440,576,608,552,5321,384,680,384,616,992,656,456,384,568,376,376,568,1
425,87,333,844,312,216,209,480,232,416,400,231,727,505,480,313,205,400,176,232,456,1
426,82,213,595,344,824,376,400,280,568,206,354,800,288,256,303,174,481,176,167,248,1
436,84,689,1549,401,365,317,318,827,1166,253,346,481,292,446,371,874,241,610,269,322,1
439,72,1513,3179,579,337,189,353,7990,450,364,352,391,409,251,580,972,277,345,268,338,1
440,57,349,814,280,301,205,226,254,559,486,282,275,212,197,273,197,299,234,240,1039,1
442,80,348,859,224,250,302,417,383,233,918,267,565,263,398,396,368,383,514,760,280,1
455,89,1094,2372,488,321,248,208,456,432,248,833,904,992,272,512,368,288,336,321,384,1
490,77,206,571,384,472,361,416,161,352,496,240,176,328,304,216,440,368,1025,408,208,1
492,83,2801,5769,248,308,297,235,234,251,347,307,13456,421,260,288,455,302,551,268,382,1
493,82,2768,5703,349,293,235,263,271,441,299,442,741,421,260,376,455,218,300,188,290,1
494,82,2724,5614,246,195,260,191,165,315,297,309,960,388,383,238,242,415,354,855,746,1
495,82,2686,5539,598,520,204,283,165,315,264,517,348,358,607,364,273,1199,274,170,275,1
