65,105,161
77,107,395
77,87,128
190,84,490
32,116,77
84,97,1771
16,147,1771
219,97,623
69,118,360
78,92,210
191,107,826
79,77,284
83,87,352
85,98,364
83,138,131
69,124,193
32,137,130
77,100,352
219,89,378
73,97,393
83,122,168
84,100,52
69,137,178
190,154,58702
219,56,39596
16,106,39596
80,97,268
73,92,176
76,107,191
65,164,115
78,83,438
69,124,193
190,92,2876
16,141,2876
13,95,555
106,146,20992
32,101,2321
75,83,4752
65,148,97
83,141,194
85,115,53
84,88,239
65,122,152
66,80,238
32,88,128
219,105,395
73,98,516
71,95,737
69,90,162
83,110,224
84,98,51
73,90,396
32,79,253
77,81,169
191,83,501
82,88,594
71,121,1912
73,88,130
82,85,364
69,85,348
69,148,99
71,103,116
76,83,501
69,133,130
73,93,179
68,147,1567
32,102,1784
82,67,482
65,135,129
84,71,115
83,109,223
73,86,148
79,90,161
78,81,301
65,74,327
65,163,130
76,81,259
65,110,239
82,90,349
86,98,363
85,79,240
68,99,315
69,109,176
71,90,144
65,136,175
32,117,70
65,117,99
82,99,302
86,116,162
85,95,227
84,94,239
65,149,114
77,80,242
73,106,175
83,136,131
69,138,145
76,107,162
13,129,22867
69,94,1159
82,99,284
73,76,208
32,89,284
76,96,263
73,84,270
73,87,78
75,90,142
73,94,222
32,99,750
77,88,866
85,96,271
82,109,223
68,127,273
85,116,85
68,120,96
69,135,130
32,107,162
75,88,287
79,90,152
82,92,442
82,83,83
65,153,129
76,104,1312
32,92,595
72,72,347
73,83,297
78,80,254
68,86,844
65,162,336
66,71,116
188,99,1617
32,162,68
77,91,896
73,76,192
76,97,285
32,107,193
86,97,271
73,95,199
73,83,72
83,106,176
73,97,272
76,91,309
32,93,238
65,115,351
82,101,384
86,101,831
85,89,147
84,108,222
65,119,180
68,103,100
69,105,176
83,120,365
106,112,6755
32,117,5099
83,84,485
65,83,348
65,136,130
66,99,85
32,89,146
84,120,346
191,90,161
80,86,363
83,124,176
69,151,145
32,133,69
86,96,223
65,118,65
83,105,145
84,94,114
85,82,294
83,118,94
69,129,272
32,141,1160
74,93,626
65,133,113
32,90,86
75,95,248
85,77,192
73,102,128
68,82,303
65,135,113
83,125,890
32,111,642
79,96,1299
78,83,307
32,92,239
79,91,845
84,91,425
83,91,393
84,88,394
65,108,426
82,104,576
66,90,380
69,109,222
75,89,195
83,118,115
8,104,765
65,138,143
83,139,161
32,135,114
65,112,71
82,96,289
86,110,304
85,100,69
84,108,208
65,118,116
68,117,83
65,133,115
13,90,1081
106,107,1175
32,100,1049
32,144,4075
83,109,30294
69,129,269
76,90,194
71,114,485
73,83,102
84,87,395
65,120,148
66,75,176
188,92,425
32,118,145
77,112,131
73,86,169
76,85,321
76,84,81
73,92,207
83,111,224
69,107,160
68,118,332
32,135,763
77,88,4953
85,110,216
82,87,365
82,117,97
85,106,177
68,115,319
32,165,1614
84,95,705
69,120,151
73,89,145
83,106,176
69,147,116
78,84,689
69,91,175
86,99,300
65,115,114
68,105,117
32,81,703
76,94,1222
219,84,426
80,85,290
76,89,224
73,96,240
75,100,347
69,96,289
75,90,161
83,128,736
32,99,1019
75,78,4405
192,73,423
77,115,317
78,92,193
69,107,441
78,102,115
68,105,161
77,98,288
85,114,285
82,94,238
68,115,302
85,88,130
68,111,222
69,106,144
75,99,347
83,133,101
32,96,84
74,94,213
65,134,97
32,83,69
77,85,380
73,74,162
76,93,284
76,100,71
73,88,162
83,103,146
69,104,147
68,107,209
32,101,67
77,82,483
73,91,178
84,107,690
84,104,115
69,115,718
13,118,7213
106,126,2809
32,117,763
75,93,1961
65,121,144
83,141,208
85,98,86
84,94,225
65,135,112
66,90,147
32,102,128
77,86,383
73,83,301
84,87,379
77,94,223
69,106,193
32,87,114
84,75,442
69,108,206
72,88,130
84,96,287
69,87,129
71,91,411
65,104,561
32,120,1646
192,103,3511
76,82,304
69,83,286
83,95,237
65,140,191
78,99,70
68,91,160
69,89,161
83,129,483
